"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44"
"result.1" 0.019959706959707 0.0345210345210345 0.144680014430014 0 0.291877496307639 0.780880659431947 0.0503134920634921 0.848830893156522 0.00617857142857143 0.00666666666666667 0.0342289377289377 0.137665416358974 0.183180594721765 0.175814434665076 0.0347536851042551 0.3754851021772 0.264260424270693 0.116353824522541 0.66169347841603 0.104044972070099 0.0438829357926529 0.0609375307664175 0.00592418473833434 0.00765135311871872 0.0195565317202931 0 0.0147864177605971 0.0116578836706687 0.0110909585203102 0.00319278599927302 0.00325228262925543 0.00525446739541008 0.0126723390320534 0.0092268803728703 0.0100717171160514 0.00985677824747421 0.00450891693873702 0.0128269017692864 0.0151260898137947 0.00889141905951753 0.00966889290584282 0.00814373394793924 0.00579754274375341 0.00751416655451586
"result.2" 0.039859126984127 0.0497144701703525 0.123611028677205 0.00333333333333333 0.298468284637189 0.800635078251674 0.0675678210678211 0.84885164076466 0.0242454212454212 0.01 0.0389404761904762 0.210145516742825 0.253643535671309 0.257650898098161 0.0503477213835347 0.452115749466703 0.273031580822169 0.17149525656022 0.700254622952371 0.149858391402922 0.062339407065896 0.0761589222379233 0.00876117684765136 0.00924151861665462 0.0140034428236846 0.00333333333333333 0.0128625226655821 0.0112449432501634 0.0131126799927982 0.00318593609757277 0.00804024132435746 0.00607195906348905 0.0141721606781619 0.0123689258845924 0.0111832354960658 0.0114685284027371 0.00547684018491635 0.0126708324211229 0.0174725626609824 0.0104641789771898 0.00892561395371827 0.00973348376624695 0.00896407883498026 0.00986778046653149
"result.3" 0.0571161224396519 0.0591449536875233 0.126147616272616 0 0.280743556055006 0.760360423519208 0.0487326146076146 0.847590411832564 0.014452380952381 0.0155952380952381 0.0265833333333333 0.223717567694648 0.286794311270993 0.27211826885082 0.0679374125109843 0.496376049812576 0.315663761964844 0.189180869581937 0.7039072490306 0.156767100213679 0.0774536469299704 0.0889559361137271 0.0143116169705945 0.0090691961430698 0.0155942265924714 0 0.0143906009667492 0.0123833333253176 0.0104474990174662 0.00362836965189271 0.00517975016025569 0.0069285945694494 0.00832465457165484 0.0110268379119438 0.010764527255552 0.0105923054819687 0.00574771865013555 0.0127748733025157 0.015845604843375 0.0117902648541398 0.00969908487326862 0.00890015297053771 0.0077206971947665 0.00852060088863352
"result.4" 0.0268705322455322 0.0544574779795368 0.110916296938356 0.0025 0.247028263253404 0.775163293391224 0.0494741092241092 0.835464262833221 0.0172546897546898 0.0133730158730159 0.020512987012987 0.289257414082266 0.348856835957612 0.335386722434403 0.0951083302316461 0.529121780145013 0.328922622708121 0.231329399543612 0.749751995275465 0.219632534075066 0.0987332760098121 0.119353928112063 0.00601960766032562 0.0084428025678778 0.0124471119939253 0.0025 0.0120318866277421 0.0115675876326009 0.0100917245720394 0.00344258959106811 0.00517532025768322 0.00596010001339051 0.00583197854593129 0.0137446796249926 0.0110102385523604 0.0107610520152893 0.00732661750087759 0.0125441128065948 0.0181844887994735 0.0116869119372532 0.00995480994054265 0.011404841982203 0.0100276313329 0.0109198545253547
"result.5" 0.0466040430158077 0.0504030142114507 0.125750334589731 0 0.252447551079399 0.725257192882464 0.0548235966931619 0.835011720582612 0.0263023088023088 0.0161111111111111 0.0326349206349206 0.31574700577301 0.38646208808854 0.364331188306093 0.10355630105274 0.572788277905806 0.362089558732462 0.268153497176705 0.753409907609644 0.230372891699684 0.116736002736339 0.142535952721893 0.00846265238194301 0.00697027280970561 0.0137539460860667 0 0.0107135494584415 0.0134017399726135 0.0100243061212683 0.00388659223948518 0.0064270908295276 0.00645388545652701 0.00866379097836678 0.0126606137305644 0.0112332983497354 0.0114118820596275 0.00700880504604146 0.0114599610158316 0.0182491230115054 0.0131043420164452 0.00839642710155625 0.00955630708674008 0.00994401206257963 0.0103448235054517
"result.6" 0.0408646620837023 0.0413438533475618 0.0955458656958522 0.00888888888888889 0.263820768433885 0.74765937662068 0.0461467457273909 0.834191819298071 0.0331186656480774 0.0352694235588972 0.0451029637029637 0.314474469094339 0.390809354580592 0.380705627555314 0.112496965707651 0.600803895302314 0.377868782855071 0.300402568186968 0.76410612492166 0.251685395939079 0.124923322019622 0.137471265745524 0.00788696494030447 0.0076105712449275 0.0116915524671418 0.00567876835468641 0.0117355464260588 0.0126537218232488 0.00741163668865648 0.00349766715411525 0.00692053349008185 0.00878186211796594 0.00927682082525556 0.0134775759514445 0.0120653347725306 0.0121165198108302 0.00796724087322026 0.013163444221936 0.0174003801782084 0.0133116842130391 0.00901710873773283 0.0109064516958673 0.00993529867559108 0.0107758210723052
"result.7" 0.0408672290463866 0.0471760083127558 0.0628196711001218 0.004 0.168215302338631 0.635958106138628 0.0930963535384601 0.641295445685609 0.0355796155330549 0.0190185614823773 0.0283590064297247 0.234850413931737 0.290750853661712 0.278278460822556 0.0372329257312853 0.40936578899039 0.183513840752739 0.131562608954048 0.610155758852347 0.162786084309865 0.0766551910710451 0.0885689885586934 0.00661006737121272 0.00488231921972128 0.00646707578947884 0.004 0.00779326884513924 0.0198273802190079 0.00901166201511017 0.00452304973979109 0.00483387015417233 0.00607744575989351 0.00712443466117111 0.00896570905028948 0.0067524500332363 0.00628993900968976 0.00264239771112178 0.00731039724617623 0.0120561729950676 0.00664000928238696 0.00684222042641591 0.00601763139578772 0.00717422502226423 0.00742842190989754
"result.8" 0.0411184385203586 0.0400708824492741 0.0588952683463595 0.00223387723387723 0.16492419976892 0.628643374122549 0.0963722023202689 0.63731239720412 0.0449165035245303 0.0352291909038546 0.0485760948316182 0.284116132079727 0.352697063148213 0.339531547058251 0.0524988159871219 0.46249544630885 0.197231046385618 0.167547007244008 0.635528910999515 0.2087517647849 0.0974896800300824 0.11752624109013 0.00692418232538036 0.0038629360380694 0.00499790357948206 0.0013014763014763 0.00697955727752543 0.0176759132368557 0.00789071533744771 0.00448653348985581 0.00573074522570403 0.00941143359306839 0.00856993195180588 0.0108797272086002 0.00687901248364751 0.00685380530363164 0.00338467374230344 0.00682577135895669 0.0109964926402973 0.00797096884107615 0.00578934307120409 0.00634797419700099 0.00684754032546484 0.00821828380938333
"result.9" 0.0451761402707692 0.042499806552522 0.0555143807620086 0.00448484848484848 0.157526166185517 0.649365234389159 0.108733945535917 0.64347530563037 0.0346190210073875 0.0358125427191923 0.0495076215765189 0.336948938449925 0.406816594732313 0.398231648266853 0.0734199469368688 0.519460175182957 0.205120909542721 0.209050134375138 0.65662873189164 0.258331638169863 0.125662047117834 0.136886708814655 0.00459771915960137 0.00357963357156176 0.00478661571957674 0.00229833749322602 0.00639863434511773 0.0168179289037069 0.00854796637014203 0.00429509512538946 0.00369059512564719 0.00870640562135332 0.00983078300739428 0.0101949602866573 0.00671845587950116 0.0066729949058046 0.00346752792594713 0.00681591237090585 0.00953272370035361 0.00764800265862769 0.0060377417488231 0.00618239149331271 0.00838937426104656 0.00891981655524953
"result.10" 0.0466246665982553 0.0466429764283862 0.056142818810649 0.00559256429844665 0.159402483358291 0.640800932752653 0.11067743779377 0.629706903970129 0.0462898423140752 0.0358234519849992 0.0424761102291041 0.36929381750398 0.450166552085086 0.436654590107191 0.0885400177313174 0.554650080175168 0.239946544949751 0.250957830228095 0.662644855141869 0.283375085377534 0.156338143713006 0.163514082112936 0.00643998913282645 0.00468303543647941 0.00684722478387711 0.00252753560968122 0.00579754522777035 0.0200858031015527 0.00801209822625469 0.00535507482245693 0.00502659268436178 0.00634522218005449 0.00635206655182818 0.012739100256452 0.00777378771932638 0.00725773352427556 0.00429272630922543 0.00766790550108226 0.0126753833489766 0.00820788264033064 0.00666821597568939 0.00665439431456606 0.0101782564865604 0.0112850424473165
"result.11" 0.0458352941969121 0.0360918499897688 0.0474095106779037 0.00306089743589744 0.153152492459724 0.629560400140337 0.119216575435927 0.649693649990876 0.0496743056213887 0.0386656598152636 0.0484644809273384 0.390992407329835 0.490285323628593 0.48032824690988 0.113609459433387 0.601362331380354 0.255640894063532 0.280487173291451 0.666415262738164 0.317099774152299 0.177213400921939 0.189658906033682 0.00632337811889763 0.00318685505302345 0.0036665812920945 0.00151675455425988 0.00541052092081579 0.0181040241100466 0.00779704466456586 0.00427248818579053 0.00434916674378836 0.00561607277862173 0.00694902884199696 0.0119774110282355 0.00656556869767515 0.00649683986506307 0.00432169805541916 0.00663108423779338 0.0125547165841503 0.00880395606326962 0.00631586398932994 0.00618144207456499 0.00942989157206362 0.00983462847062501
