"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40"
"result.1" 0.0216666666666667 0.0252777777777778 0.511738095238095 0 0.446930735930736 0.86860938536533 0.032312925170068 0.916408837976425 0 0 0.0156 0.0288 0.0292 4e-04 0.1048 0.2068 0.0130612244897959 0.191304347826087 0.0048 0.0036 0.011998643769226 0.0122399053286441 0.0470014060985622 0 0.028598536965924 0.00556484932490232 0.0153673646811068 0.00827906422734724 0 0 0.00409562466714681 0.00548511300216 0.00547847947643663 4e-04 0.00711873328875044 0.00895429472037826 0.00294564034448105 0.0105251699223582 0.00163595954606574 0.00128330381705529
"result.2" 0.0145833333333333 0.0563452380952381 0.457668678543679 0 0.445728424353424 0.856848410949658 0.04 0.901124227464762 0.02 0.015 0.0268 0.042 0.0516 0.0016 0.1324 0.2324 0.0112 0.26304347826087 0.01 0.0108 0.010298147300494 0.0206724742570341 0.0428163472509294 0 0.0267704174232927 0.00602875084256293 0.01836773631599 0.0065402262180172 0.0121439181269781 0.0111350751676807 0.00518131842353475 0.0063659447472667 0.00680570170941805 0.00078778554226773 0.00876531271950448 0.00909114343132309 0.0022077915287326 0.0103495283001319 0.00297464028892316 0.00325880315143428
"result.3" 0.0395 0.0847777777777778 0.456243544037662 0 0.455375579485874 0.859732111959902 0.0614478114478114 0.897035499685419 0.0103333333333333 0.00842857142857143 0.0316 0.0488 0.0644 0.0028 0.1644 0.2544 0.0246464646464646 0.292173913043478 0.0164 0.0148 0.0165036726858361 0.0244186196611904 0.0417037952191682 0 0.0239469309875528 0.00580139002794148 0.0194251405557153 0.00563543035424191 0.00711765797115795 0.00553504976693889 0.0064396499057861 0.00751198369206823 0.00811821744876636 0.00102572959990497 0.0104970606756502 0.00901661765516282 0.00388271978270526 0.0107036549599689 0.00444385854724009 0.00442782752212149
"result.4" 0.0447619047619048 0.102595238095238 0.513689023166791 0 0.456751242328288 0.850696689443838 0.0252525252525253 0.88790462917495 0.05 0.05 0.0312 0.0552 0.0816 0.0064 0.1804 0.2788 0.0258585858585859 0.290337078651685 0.0144 0.0108 0.0193556147476351 0.0254513250391822 0.0387768476097693 0 0.024128532878763 0.00664904718320153 0.0127442436743548 0.00780537490373888 0.021904291355759 0.021904291355759 0.00564484210799934 0.00850487679469428 0.00889753115229503 0.00177251747010239 0.0119729661818582 0.00993644449956469 0.00399187512546649 0.0138210966614995 0.00275724939793705 0.00233411242404491
"result.5" 0.0316154401154401 0.0606038961038961 0.44582163261575 0 0.402114870380737 0.848092064858446 0.0758333333333333 0.881756047837782 0.0488333333333333 0.046 0.066 0.0888 0.1104 0.01 0.236 0.3056 0.04 0.356818181818182 0.0244 0.0236 0.0101044390781922 0.0152362902908693 0.0381254860542506 0 0.0224897128370084 0.00714220469082898 0.022035038672372 0.00509371516648476 0.02006338860436 0.0199425662434055 0.00945163125250522 0.00965807350553845 0.00981641585315232 0.00250252397843183 0.0124754303988425 0.0112925469297947 0.00461880215351701 0.0126064386347145 0.00517632528289552 0.00560216408401632
"result.6" 0.0182619047619048 0.0746829004329004 0.368941197691198 0 0.372404423921452 0.843234668598011 0.0593434343434343 0.871297030633651 0.02 0.02 0.0644 0.0988 0.13 0.0084 0.246 0.314 0.0480808080808081 0.391208791208791 0.0204 0.018 0.0108742563095213 0.0242461926124626 0.0343418973320482 0 0.0174946610698229 0.00706333564876632 0.0196426832266241 0.00765287857533686 0.014070529413629 0.014070529413629 0.00905908774143791 0.0105670346939064 0.0106874796945876 0.00256124969497314 0.0119983163802092 0.011304776857505 0.00607734923553933 0.0146433674116811 0.00434827261650816 0.00407505344824588
"result.7" 0.0585714285714286 0.076547619047619 0.681434311461485 0 0.314466964408141 0.763575897891301 0.065 0.829002836424643 0.05 0.0394736842105263 0.0032 0.0063 0.0149 0 0.0382 0.1635 0.0022 0.155119047619048 2e-04 3e-04 0.0222284571752072 0.0249528604566024 0.0370902158260211 0 0.0294822104376269 0.00856613636290368 0.023197657492327 0.0133705843420627 0.021904291355759 0.0194408965756704 0.000601009252185123 0.00127647715976195 0.00199238449090429 0 0.0034913457218521 0.00417393305788643 0.000542720420239974 0.00652347815868455 0.00014070529413629 0.000171446607997765
"result.8" 0.0391666666666667 0.042 0.673584800864853 0 0.291282120442337 0.800681607402108 0.0925925925925926 0.800393037946787 0.1 0.1 0.0059 0.0093 0.0227 1e-04 0.0481 0.1957 0.00676767676767677 0.202820512820513 4e-04 0.0011 0.0186322057445996 0.016674207048488 0.0321980189987738 0 0.024412231643185 0.00621789312428469 0.0262376834406427 0.0127118652242715 0.0301511344577764 0.0301511344577764 0.00149135556261457 0.00173644825009343 0.00265472705896025 1e-04 0.00335054646530407 0.00411023605210703 0.000992948575401949 0.00675408248639405 0.000196946385566932 0.000633970970880522
"result.9" 0.0420833333333333 0.107651515151515 0.66279133960151 0.01 0.355821602546061 0.824525091071161 0.113230240549828 0.812603655961189 0.125 0.125 0.0059 0.0122 0.0306 0 0.0535 0.201 0.0102061855670103 0.212388059701493 5e-04 9e-04 0.0183827673750074 0.0277130674177995 0.0285476385479334 0.01 0.022704874315313 0.00655445263637264 0.0286537893974155 0.0114960808972963 0.0326637289959244 0.0328564370336385 0.00174132771821453 0.00259595645167439 0.00298758373366448 0 0.00372915079563239 0.00478106534765902 0.00142072428895458 0.00772693618726717 0.000261116483933547 0.000451596494604856
"result.10" 0.0825 0.160039682539683 0.677541321636355 0.01 0.353073614814127 0.833042457559982 0.082351290684624 0.796612241282188 0.153333333333333 0.150256097560976 0.0064 0.0103 0.0304 2e-04 0.0497 0.2141 0.0126262626262626 0.222638888888889 5e-04 9e-04 0.0268401083109106 0.0347487138684129 0.0306086150195335 0.01 0.0215061729141659 0.00505628086340644 0.0193360527369036 0.0156218814020505 0.0356658642409499 0.0353862167294124 0.0015987368751485 0.00200229666113489 0.00271516504325634 2e-04 0.00361661429929969 0.00442009872370208 0.00165945165945166 0.00826732792948984 0.000261116483933547 0.000404395046378357
