"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"result.1" 0.0216666666666667 0.02 0.0164 0.0092 0.011998643769226 0.014070529413629 0.00414270686894695 0.00335652537995211
"result.2" 0.0145833333333333 0.03125 0.0272 0.0184 0.010298147300494 0.0156281562468759 0.0051758569290017 0.00483823158276708
"result.3" 0.0395 0.0231111111111111 0.0316 0.0204 0.0165036726858361 0.0142095903499171 0.0064396499057861 0.00543821123294613
"result.4" 0.0447619047619048 0.08 0.032 0.0196 0.0193556147476351 0.0272659924344291 0.00571370848455402 0.00411923303638928
"result.5" 0.0291154401154401 0.0679924242424242 0.0668 0.0412 0.00986509837043734 0.0240689321490682 0.00946325162473932 0.00748774082258879
"result.6" 0.0172619047619048 0.0229090909090909 0.0624 0.0372 0.0108442692531074 0.0141983845224965 0.0086469706261847 0.00703825047131528
"result.7" 0.0435714285714286 0.0645238095238095 0.0031 6e-04 0.019578505372055 0.024080457055697 0.000597891919559671 0.000238683256575942
"result.8" 0.0391666666666667 0.0825 0.0067 0.002 0.0186322057445996 0.0273064816370388 0.00162713728909879 0.000696310623822791
"result.9" 0.0520833333333333 0.144035087719298 0.0059 0.002 0.020722559032657 0.0346791806314115 0.00174132771821453 0.000635641726163728
"result.10" 0.0825 0.163333333333333 0.0064 8e-04 0.0268401083109106 0.0368498637434721 0.0015987368751485 0.000307482445914323
"result.11" 0.119392246642247 0.294382352941176 0.0107 0.0036 0.030794828017891 0.0446764284295033 0.0024256832839304 0.000990051524013786
"result.12" 0.123333333333333 0.308053199010251 0.0125 0.003 0.0319247853429263 0.0458397845507071 0.00275378527364305 0.000758786910639328
"result.13" 0.052 0.0571754385964912 0.0196 0.0148 0.0219494368442058 0.0214201643826095 0.00391815252279939 0.00408614312727365
"result.14" 0.0247222222222222 0.0301515151515152 0.0416 0.0296 0.0120589996476825 0.0152529433349617 0.00601466221962311 0.00600659570132633
"result.15" 0.0377619047619048 0.0693333333333333 0.0816 0.0568 0.0118137948257448 0.0200012677396601 0.00858318770102991 0.00743847491700477
"result.16" 0.0486904761904762 0.0701547619047619 0.1276 0.0828 0.014739092950072 0.0206370798556729 0.0103075141758257 0.00980216426318312
"result.17" 0.0512388167388167 0.106981601731602 0.2124 0.1504 0.00950330057557022 0.0210999701809042 0.0135699608836517 0.0123402273934159
"result.18" 0.0475676545676546 0.0841607369238948 0.264 0.162 0.00889856366355948 0.0195933958002183 0.0148691260365534 0.0150996688705415
"result.19" 0.0128427128427128 0.0300952380952381 0.0243 0.0139 0.00504207269427966 0.0139054537375577 0.00297550606849261 0.00215507388141183
"result.20" 0.0495205252264076 0.166 0.0338 0.0157 0.0110786873533367 0.0322559017453576 0.00356973812807471 0.0025475478405714
"result.21" 0.0586098901098901 0.22034077034077 0.0674 0.0281 0.0105796162470427 0.0330670237457766 0.0054469340834171 0.00410885960732747
"result.22" 0.0561737953223247 0.336674031345707 0.0949 0.0315 0.0135559633278023 0.0366149430592551 0.00670217061175638 0.00326714591413399
"result.23" 0.0798054178993514 0.524628142778267 0.0987 0.042 0.0139237735360773 0.0365970565755323 0.00691602589218795 0.00426638256629902
"result.24" 0.101578454240979 0.656682348036977 0.14 0.0686 0.0112498521032928 0.0287635964172505 0.00880541614776687 0.00481164412565177
