"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24"
"result.1" 0.0201862715887484 0.0253329382605698 0.0135378408141566 0.017093991534781 0.0178096348096348 0.0202934704184704 0.362811598580061 0.305671262042844 0.268326880650032 0.275363371013612 0.284419224090295 0.278541724618881 0.00441307721832748 0.00649174189248872 0.00447788081164746 0.00581504226239231 0.00452665256308264 0.0068699801804653 0.0168931316367533 0.0154431105414271 0.0196261159470318 0.0187336202952447 0.0183115824144781 0.0157408929555733
"result.2" 0.0296569840678906 0.0458939789570595 0.0164718658276708 0.0204254271871919 0.0160664934222984 0.0404207604345072 0.457197602893214 0.413606688409927 0.340651189887679 0.371695418752501 0.382566827893742 0.386452503264473 0.00485448423107745 0.00711803504280123 0.0059774114398683 0.0040858039452624 0.00351980786059146 0.00679043983605163 0.0177404508124491 0.0154309152564944 0.0211083858367763 0.0182591238537602 0.0183613882115568 0.0155384675702362
"result.3" 0.0378768131386519 0.0486456789859906 0.0381357732251695 0.0326359816653934 0.0320105384295787 0.0463660108426295 0.548849014969396 0.505131956552147 0.417845036812394 0.448382799756121 0.464136711796839 0.483584508908245 0.00561500527381886 0.00659666568241294 0.00690371054260022 0.0054046890465636 0.00502326296523943 0.0069240597608455 0.0166559547502566 0.0145174040461012 0.021512628733724 0.0200543382943374 0.0193502382390798 0.0156332856767562
"result.4" 0.0368491243923065 0.0457459043776794 0.0317679044381831 0.0301532752163557 0.0315560949330746 0.0400541617227241 0.576454225521142 0.54263318031952 0.469133810052466 0.49428588302589 0.510259132713329 0.514625432972336 0.00604547208891935 0.00676604942263437 0.00623713977787058 0.00508321369892752 0.00545755439060544 0.00697557940621903 0.0155968978528532 0.0149625168688089 0.0192245520894942 0.0177336359102038 0.0178851139438704 0.0169730868103489
"result.5" 0.0352988179525405 0.0452787392673769 0.0341376241288612 0.0373477067107872 0.0323876105901547 0.048005208289863 0.63997866961407 0.618321113174673 0.540325250312729 0.562842590170628 0.583741816813162 0.588352725031081 0.0046625848203364 0.00619321390645048 0.0107237520750975 0.0107464432247349 0.00653723979352808 0.00699656668794511 0.0153600047165964 0.0145732594273249 0.0205188832225396 0.0193530503641592 0.0183594912183002 0.0149908295513257
"result.6" 0.037295668571361 0.0588562273492836 0.0352101209906937 0.0355878457234848 0.0352296329438989 0.0582055622369424 0.683085308277237 0.660004832014989 0.597720140760821 0.616974904023704 0.641173496502391 0.639415228086965 0.00516894843164678 0.00709246621546282 0.00598103845424334 0.0062475051625628 0.00536853320736318 0.00905935850470263 0.0135279657809741 0.0116177198735877 0.0182445921901697 0.0158005087108338 0.0147994400532355 0.0127285315514025
"result.7" 0.0341326452403085 0.148627039031412 0.0353342372706549 0.0506491179295717 0.0710778764429623 0.15372231499908 0.479154904148937 0.304958393466587 0.312596878189877 0.303797775301401 0.303686977030959 0.278188941131817 0.00316836153907818 0.0113688326473496 0.0048501242236125 0.00691976105501423 0.0126578465539809 0.016338793763536 0.0120356334743074 0.0105053022195359 0.0172522998744297 0.0155520985386263 0.01503355007542 0.0116697223262249
"result.8" 0.0289820917932497 0.148060573923876 0.0454884810194922 0.0509700094647244 0.0468314023216651 0.153702726313507 0.562606600217836 0.394194513599382 0.389522269622612 0.386301157336227 0.386626512299134 0.36534877424377 0.00242068644992507 0.0103326532606247 0.00760105954396247 0.00784187766070697 0.00523189748561644 0.013839164369244 0.0111483767743924 0.0109762279319794 0.0184864526854912 0.0165809922382028 0.0154458022400198 0.011512667057693
"result.9" 0.0342795269660614 0.179620161012751 0.0491240116495592 0.0757114397667588 0.0708433081726717 0.191096053404441 0.596024602817292 0.44401845901066 0.44000378009944 0.427227335586187 0.433289246299318 0.428797549573617 0.00322416750308755 0.0125627680172571 0.00953847489949597 0.0109668540228503 0.00979921903981311 0.0164834118992521 0.0117889707318442 0.0117764093089973 0.020251230377333 0.0182842562291538 0.0176464614373223 0.0126141703149525
"result.10" 0.0356251849302056 0.186213582806955 0.0536338262397952 0.076066398143703 0.0780164795507047 0.188839702538426 0.652516749864072 0.511826598640586 0.506695851873205 0.489051811786464 0.500609057415822 0.491078896528963 0.00294995459589145 0.0105464071391933 0.00653118568300307 0.00823856575481347 0.00799164737664564 0.0124061664704167 0.00977245979691504 0.00907484419877653 0.0153535401912546 0.0146440308041041 0.0131942413192732 0.00955511425548134
"result.11" 0.0343965202791861 0.18244757631707 0.0545947275672295 0.0756942875572957 0.0768921035553189 0.190087865073772 0.676243762517497 0.551068729058493 0.525171379029548 0.516056441468147 0.52452655838285 0.538196279524407 0.00222098312802573 0.0110301191648765 0.00513575515305535 0.00658312589389808 0.00631240659508699 0.0139359157570992 0.0100974477069457 0.0104551529248584 0.0179223724051594 0.0159561149420096 0.0151185037508958 0.0108867827459454
"result.12" 0.0355334616787942 0.206104734569126 0.0647903326114381 0.0802784340679911 0.0809930222875508 0.206547536326088 0.702632815235251 0.582269002081166 0.564381153664106 0.5467973063866 0.562750898657422 0.566343907796311 0.0029476763413794 0.0109548144310782 0.0070771603603707 0.00785040783400467 0.00752319668667639 0.0130685783288783 0.00806463086016852 0.00881884181424577 0.0143416416369221 0.012779531986635 0.0121117368650757 0.00943884439001127
"result.13" 0.0364817660873573 0.0489068195332733 0.0398940221463515 0.0434009130030781 0.0386288478743553 0.0573302607988957 0.657093416857324 0.628038270658082 0.612300334359181 0.615082666867405 0.620518070946611 0.622829892940975 0.00439120063142319 0.00583566390733335 0.00527314939362201 0.00510600829011068 0.00508961881919385 0.00747100322888268 0.0118994753875953 0.0109753691111352 0.0133294801652824 0.0128054271434946 0.0124071025953577 0.011178127357127
