"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40"
"result.1" 0.0760238095238095 0.163666666666667 0.69840293641604 0.01 0.3955 0.670245777965424 0.217690476190476 0.466666666666667 0.01 0 0.0301762192572518 0.0998269777424221 0.155693170023526 0 0.0206435836019107 0.104230098357918 0.0524043559498246 0.0166666666666667 0.000909090909090909 0.000909090909090909 0.0246263972467005 0.0257069096373294 0.0230724518435063 0.01 0.0437341313212489 0.0322227176843144 0.0336461691770533 0.466666666666667 0.01 0 0.00583303833127031 0.00976202867001001 0.00987505109772107 0 0.00365782920261887 0.0107367385202019 0.00684378799384364 0.0166666666666667 0.000909090909090909 0.000909090909090909
"result.2" 0.0304285714285714 0.181693306693307 0.61503065447442 0 0.333138528138528 0.641435589759455 0.295583333333333 0.839285714285714 0 0 0.039569521757585 0.151749325357696 0.211024478171594 0 0.0323435815742136 0.105792392719799 0.0679214627502799 0.159090909090909 5e-04 5e-04 0.0126776336123154 0.02319551505469 0.0259655222752234 0 0.0414567446357016 0.0345294146754542 0.0344465652213827 0.0773809523809524 0 0 0.00678792079831857 0.0137495424923475 0.0108932214456138 0 0.00553568531394926 0.0121251577397662 0.00737011293158894 0.0681818181818182 5e-04 5e-04
"result.3" 0.0388333333333333 0.185270737603047 0.67470688076958 0 0.407833333333333 0.586385615698432 0.249601343101343 0.745961038961039 0 0 0.0475342602022328 0.154253814281029 0.225522435422051 0 0.020415750572443 0.12674498112274 0.076218210767655 0.272660839160839 0.00443419312169312 0.00376752645502646 0.0178581752146672 0.0265286850250486 0.0236308134450593 0 0.0444441003774561 0.0338758666952098 0.0354768279475347 0.0283751585437578 0 0 0.00875829456820092 0.0133511948855364 0.0126104703556519 0 0.00505062257833435 0.0131617293346002 0.00832300699463334 0.0419588084137454 0.00233644401625126 0.00225061487013421
"result.4" 0.0707222222222222 0.149964715839716 0.602630302231415 0 0.376463383838384 0.631452075603247 0.187037037037037 0.71025641025641 0 0 0.0626259927933459 0.199871623832992 0.274238454330639 0.000416666666666667 0.0542091913213802 0.153705181465922 0.0924813249609959 0.275032938076416 0.00125490196078431 0.00125490196078431 0.0226364115270904 0.01935956127386 0.0255243315398348 0 0.039617244794559 0.0302745185507271 0.0267385223353979 0.105300047171185 0 0 0.00949426499138107 0.0140610742280213 0.0121823738466551 0.000416666666666667 0.00951977465056341 0.0142806116399651 0.00882448773122553 0.138597304327879 0.000884614517644031 0.000884614517644031
"result.5" 0.0419519632414369 0.11135951711687 0.611801995985104 0.01 0.380248751248751 0.651872580928711 0.164723665223665 0.747710622710623 0.01 0.01 0.0980532588195639 0.228557867045966 0.318074116581482 0.000384615384615385 0.0838798062150711 0.187997516679564 0.128290478621837 0.283683063868822 0.0128515860211609 0.0185056044664837 0.0156917999799549 0.0156720635889497 0.0229654718732306 0.01 0.0360934243860931 0.0265639852863566 0.0221814979758352 0.0659928639944499 0.01 0.01 0.0128151131933933 0.0156070903629005 0.0128995972269008 0.000384615384615385 0.0108096959662905 0.0160072842369385 0.0094532710033431 0.126171565129406 0.00558806417536468 0.00694192014061672
"result.6" 0.032991219564749 0.117440567815248 0.570108388206782 0 0.30686260961261 0.59911821205131 0.138105339105339 0.594860166288738 0.00142857142857143 0 0.123249624954701 0.286852054146866 0.396071142639596 0 0.0969384174805487 0.235682975926276 0.15267504510319 0.479362591431557 0.012990810521845 0.0107916750468475 0.00917737791521428 0.0174732082870457 0.0256943235291147 0 0.0365359959132157 0.0234257129238279 0.0197090597534707 0.0507312429302606 0.00142857142857143 0 0.015394800950644 0.018206260022353 0.0136201927937711 0 0.0123227673565492 0.0167173155909322 0.00990661397644484 0.117255220118168 0.00437426336885074 0.00390470073889389
"result.7" 0.0189031531270662 0.116639674557997 0.465710272430172 0 0.30647446997447 0.465353788487232 0.205587921149146 0.672570177496286 0.000714285714285714 0.000907046476761619 0.0626754624419879 0.135169749709634 0.176912072034081 0 0.0183595917331962 0.172800271058016 0.0396633085388538 0.124644945697577 0.00950064767550299 0.0102304582487216 0.00491181951794326 0.0170531506763371 0.0240043220533142 0 0.0360193414591658 0.0214859736267073 0.0283099336115254 0.0837077592229351 0.000714285714285714 0.00072100932546477 0.00903463885741924 0.0101522310830143 0.00840997440777802 0 0.00300017612184747 0.0115038428421591 0.00344146677412563 0.0414015398535139 0.00432080366147636 0.00495190333215703
"result.8" 0.0438262165941382 0.0930915091339727 0.468488810644081 0 0.382129509379509 0.500746570320389 0.198015663859704 0.291666666666667 0 0 0.0650208780119261 0.143081518236879 0.207944257359198 0 0.0238802771269324 0.190302759818495 0.0445276260610723 0.157407407407407 0.00751988842232739 0.00738084990093593 0.0148686129325271 0.0108950837380667 0.0200255802638615 0 0.0393709443428918 0.0209176033963568 0.0273989994941736 NA 0 0 0.00990804052112872 0.0115367620431054 0.00909896043296067 0 0.00475568314560742 0.0119702619953832 0.00455788375260958 NA 0.00331411436649811 0.00357144125212607
"result.9" 0.0344565318347018 0.102575547489941 0.415645385983224 0 0.325662268287268 0.483599639617892 0.225779255058667 0.71875 0 0 0.0799628774092139 0.190730929821852 0.254359585743454 0 0.0261317945423706 0.204435080582833 0.0488911900727199 0.0818181818181818 0.00657398152317102 0.00650554385107248 0.012769133436563 0.0124998534475615 0.0224045401122692 0 0.0355747079590295 0.0227699277934948 0.028491411086464 NA 0 0 0.0112984849866375 0.0130070476096698 0.00949525469261985 0 0.00326163000912241 0.013044107537872 0.00424644465372494 NA 0.00218586650415893 0.00218619553591143
"result.10" 0.0281183017629982 0.0943147169357406 0.383290518000933 0 0.227608630103986 0.46187851844438 0.173333865824578 0.480519480519481 0.000909090909090909 0.000754985754985755 0.116606908928703 0.248090436176188 0.31719964094526 0.000232558139534884 0.049332742746643 0.245279883835773 0.0631770307336821 0.444444444444444 0.0126358863309666 0.0159735905152427 0.0077412420958 0.0116998226837898 0.022025329821239 0 0.0295904312848505 0.0212968019804312 0.0230363206103895 NA 0.000909090909090909 0.000531248929105337 0.0127418382602196 0.0151697044719269 0.0104636417206077 0.000232558139534884 0.00628800862429345 0.0136336433752666 0.0049574405124057 NA 0.00349409929249398 0.0046932115426477
"result.11" 0.0736206684074847 0.106308360397681 0.3691660501654 0 0.305164697829404 0.491892847095962 0.245004908024984 0.470588235294118 0.00234821428571429 0.00247680026067123 0.117572519680795 0.26673691164505 0.34065079379626 0 0.0573410303266265 0.258680732209358 0.0671060522016086 0.27 0.0193907951200669 0.0203729266660875 0.0216890618857608 0.0131999993597975 0.0207880420204646 0 0.0316407465122318 0.021283814688462 0.0314022546051993 NA 0.00165691017042978 0.00161609028332034 0.0141871956274385 0.0151035968671064 0.00963991490837698 0 0.00776817703726349 0.014646571625928 0.00567573681228678 NA 0.0077280261635864 0.00866290343180617
"result.12" 0.0465177748919567 0.0856190917325106 0.330187777624167 0 0.303004698521173 0.490446108788354 0.227832376412717 0.354838709677419 0.00111111111111111 0.00135714285714286 0.117806886846848 0.304029795823373 0.373938159634091 0 0.0587945757374549 0.26392531966665 0.0696424371087361 0.425531914893617 0.0167368981442367 0.0148766909651177 0.017766100846636 0.0118452094329055 0.0198250567793648 0 0.0336271994468064 0.0191941169007092 0.0264490340289787 NA 0.00111111111111111 0.00105845926383265 0.0134128832634415 0.016630001012371 0.0112648372347464 0 0.00846318443499092 0.0136060949771257 0.00534475982562163 NA 0.00597357139922546 0.00561169189432095
"result.13" 0.0304007936507937 0.0971278137067611 0.449731277902981 0 0.4370460062813 0.732375987159135 0.14177380952381 0.804515898738457 0.0025 0 0.0886651272070365 0.184789579797778 0.226681145922451 0 0.0631038420686895 0.317616258222023 0.062673984092723 0.36433703009999 0.0261271453503331 0.0265098706632488 0.0090752833223144 0.0178452479649315 0.0281812526115072 0 0.0368420790742351 0.0115228139158463 0.0298867084776667 0.0140098307216693 0.0025 0 0.0114371440288484 0.0141811386484462 0.0134453707614196 0 0.00714387131990164 0.0145229619339832 0.00700662525967125 0.0203088296367118 0.00572691865551713 0.0056723474513986
"result.14" 0.0287142857142857 0.0704111649874034 0.411941428225731 0 0.42695821430032 0.719329310742464 0.114674603174603 0.799055445547466 0.00142857142857143 0.00142857142857143 0.111600436108748 0.22886919975735 0.280652045571545 0.00037037037037037 0.0941219631780593 0.318574271443703 0.0762598364854831 0.380249324652718 0.0371889124411795 0.0319107149994307 0.0144026626418446 0.0117945769908907 0.0299706384716034 0 0.0345421505368997 0.0142002404337287 0.0239843681596116 0.0155835808574415 0.00142857142857143 0.00142857142857143 0.0135211648080125 0.0164219011416917 0.0136806608989317 0.00037037037037037 0.0117681335311919 0.0163932003614142 0.00730741710250736 0.0262186335487256 0.00729106304933503 0.00704765975517009
