"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
"result.1" 0.0319007936507937 0.0424955703211517 0.0178333333333333 0.0118650793650794 0.0565645753292645 0.0413560199302213 0.017197477570227 0.0126191783630485 0.0128076620759612 0.0154373434492104 0.0109258674312193 0.00966859491901063 0.00836346366348028 0.00639983518496201 0.0033925379788782 0.00291812691081706
"result.2" 0.0378717948717949 0.0422777777777778 0.006 0.0075 0.0873522825628254 0.0572228754677046 0.0243069019346408 0.0146441273085228 0.0138320745804121 0.0133101404625219 0.00445403006707227 0.00556753758384034 0.0103640724374931 0.00756320859345122 0.00442528238735191 0.0027986437124906
"result.3" 0.0387368742368742 0.0450238095238095 0.0025 0.00625 0.139040376654601 0.107098793601452 0.0480291437711417 0.0307057322093926 0.0148534764760031 0.0135730651167406 0.0025 0.00514161816685539 0.0143429342341318 0.0117840748462342 0.00784436048811486 0.0058436335694913
"result.4" 0.0504366883116883 0.0465483405483405 0.00666666666666667 0.00549242424242424 0.170462115081852 0.132269618900158 0.0631788184349653 0.0471036421671667 0.0137416858085663 0.0131743803741394 0.00469017647120966 0.00365126104568719 0.0145044023310639 0.0118784279384301 0.00919763218007503 0.00743958642268027
"result.5" 0.0328026634098616 0.0629312327457489 0.00539285714285714 0.0356765873015873 0.209158996821793 0.174396010626531 0.0734195107878017 0.0617213626212172 0.00769025257081719 0.0170963783208907 0.00281099776069583 0.015448750328674 0.018643234154851 0.0149863413718616 0.0109503023827606 0.00917782878259488
"result.6" 0.0486528125148061 0.0564791597291597 0.0167146464646465 0.00325 0.264535730265786 0.209580655860781 0.0959273357579261 0.0601778078340971 0.0133341035857551 0.0113506056362756 0.0067721797359252 0.00234776381893387 0.019490219439325 0.0139447213582884 0.0111855077607456 0.00811047182972713
"result.7" 0.0641800044791463 0.0998834776334776 0.00385964912280702 0.0105555555555556 0.106047900316356 0.025388491453198 0.023107108274397 0.00367292052579384 0.0168503802709298 0.0214469321509187 0.00252280085309044 0.00635126529867289 0.010113888905845 0.00344432433007331 0.00395551780551209 0.000940297428366064
"result.8" 0.0336025701838901 0.0903999242614238 0.00987301587301587 0.0251666666666667 0.147867574969026 0.0462990407720671 0.0384692234907907 0.00805213614143948 0.00603265984094796 0.0169554633031646 0.00410586039561117 0.0110870826042472 0.0117132651915908 0.00568634721681564 0.00534240793697485 0.00152841151711834
"result.9" 0.0333939642876452 0.131097077056381 0.012354675553205 0.0488130933394091 0.217413612891819 0.0684104407756689 0.0723228668825702 0.0109255397993953 0.00460892971322575 0.0201200155683379 0.00374583422140328 0.0162006766501724 0.0144562423253337 0.00721368010628407 0.0080601518714475 0.00187963291995495
"result.10" 0.0561263455391772 0.131682515292417 0.00651544214523754 0.0492979797979798 0.238574182089888 0.0964572210832691 0.0841843363157584 0.0193048697096261 0.00804446784964189 0.0176129451089879 0.00254400813348538 0.0174528457138105 0.0148640936059978 0.00836909535578916 0.0096255320449355 0.0034609615260146
